trailing_per,trailing_eps,forward_per_consensus,forward_eps_consensus,current_pbr,current_bps,close,market_cap,business_overview,business_keywords,roe_estimate,source_url,source_id,quality_flag,as_of,ticker,company,sector,in_kospi200,py_end_per,py_end_eps,roe_2y,roe_1y,roe_current,pbr_band_low,pbr_band_high,update_note,pbr_5y_min,current_pbr_from_history
16.69,12885.0,17.0,12543.0,1.09,197247.71,215000.0,326964.0,"기업개요 동사는 1999년 설립되어 한게임 사업부문을 인적분할하고, 크림페이 등 14개 법인을 설립하여 사업을 확장함. 국내 1위 인터넷 검색 포털을 통해 네이버 및 파이낸셜 플랫폼을 운영하며, C2C, 웹툰, 클라우드 등 글로벌 사업을 전개하고 있음. 초거대 AI HyperCLOVA X를 통해 다양한 AI 활용을 확대하며 지속적 연구개발로 플랫폼 혁신을 추구하고 있음.",플랫폼·인터넷,0.0636,https://finance.naver.com/item/main.naver?code=035420,NAVER_PUBLIC,OK,2026-09-01,035420,NAVER,,Y,,,,,,0.9555497501086325,1.2953255578987457,Public Naver pull; history-dependent fields require BPS history input.,0.7969674274038467,1.0899999802279075
35.75,5777.0,16.0,12686.0,1.38,149637.68,206500.0,336356.0,"기업개요 동사는 2002년 LG전자의 전자 및 정보통신 사업부문을 인적분할하여 설립되었으며, 2025년 로봇 및 온수기 관련 기업 지분을 매입하여 사업 영역을 확대함. HS사업본부, MS사업본부, VS사업본부, ES사업본부, LG이노텍의 5개 사업부문으로 구성됨. 인공지능, 양자컴퓨터 등 핵심기술 선행 연구개발에 연간 4조원 이상을 투자하며, 생성형 AI 기반 차세대 AI홈 구현과 로봇 액추에이터 기반 신사업 확대를 추진하고 있음.",,0.0848,https://finance.naver.com/item/main.naver?code=066570,NAVER_PUBLIC,OK,2026-09-01,066570,LG전자,,Y,,,,,,0.5771273652465074,0.8219854785238585,Public Naver pull; history-dependent fields require BPS history input.,0.4537627153802438,1.3800000106924941
16.3,41543.0,14.0,49076.0,1.19,568907.56,677000.0,302263.0,"기업개요 동사는 1952년 한국안보화재해상재보험주식회사로 설립된 국내 최대 규모의 손해보험사임. 보험업법에서 규정하는 손해보험업과 제3보험업을 핵심사업으로 영위하며, 개인연금, 퇴직연금, 신탁 등 다양한 금융상품을 판매하고 있음. 보종별 보험수익 비중은 장기보험 54.8%, 자동차보험 30.4%, 일반보험 14.8%이며, 국내 3개, 해외 6개 자회사를 보유하고 있음.",금융·보험;자동차,0.0863,https://finance.naver.com/item/main.naver?code=000810,NAVER_PUBLIC,OK,2026-09-01,000810,삼성화재,,Y,,,,,,0.3673707552770084,0.7846617471562516,Public Naver pull; history-dependent fields require BPS history input.,0.3234268850285624,1.1900000063279172
78.9,2592.0,57.0,3588.0,14.28,14320.73,204500.0,306750.0,"기업개요 동사는 1974년 설립되어 전기·전자·계측·정보 및 자동화기기의 제조·판매·유지보수를 주요 사업으로 하고, 1994년 상장함. 연결대상 종속기업은 42개사로 LS메탈, 락성전기(무석)유한공사, LS이모빌리티솔루션, LS ELECTRIC America 등을 보유하고 있음. 전력사업은 전력기기·시스템·신재생에너지를, 자동화사업은 PLC·인버터·HMI 등 솔루션을 제공하고 있음.",전력·에너지,0.2505,https://finance.naver.com/item/main.naver?code=010120,NAVER_PUBLIC,OK,2026-09-01,010120,LS ELECTRIC,,Y,,,,,,0.7706311060958484,4.1003496330145195,Public Naver pull; history-dependent fields require BPS history input.,0.5844674119266267,14.279998296176243
32.58,23602.0,29.0,26440.0,12.27,62673.19,769000.0,277202.0,"기업개요 동사는 2017년 설립된 HD현대그룹의 전력기기 제조기업으로 2025년 북미 시장 공략을 위해 HD Hyundai Electric Texas LLC를 설립하고 있음. 전력변압기, 고압차단기 등 전력기기와 회전기기, 배전기기를 제작·공급하며, 매출 구성은 전력기기 69%, 회전기기 18%, 배전기기 13%로 구성됨. 전 산업의 전기화, 탈탄소화 추세에 대응해 에너지 신사업을 추진하며 토털 에너지솔루션 기업으로 성장 추구하고 있음.",전력·에너지,0.4219,https://finance.naver.com/item/main.naver?code=267260,NAVER_PUBLIC,OK,2026-09-01,267260,HD현대일렉트릭,,Y,,,,,,0.5101064745547498,8.41508147263608,Public Naver pull; history-dependent fields require BPS history input.,0.27842846359025286,12.269999341026043
25.72,48642.0,21.0,60954.0,2.25,556000.0,1251000.0,261120.0,"기업개요 동사는 1974년 종합 비철금속 제련회사로 설립되었으며, 1990년 기업공개를 함. 연결대상 종속회사 84개를 보유하며, 2026년 미국 통합 비철금속 제련소 건설을 위해 Crucible Metals Holdings 등을 신규 설립하였음. 동사는 아연, 연, 금, 은, 동 등을 제조·판매하며, 자원순환, 전해동박 생산, 신재생에너지 및 수소개발, 전자폐기물 재활용 사업을 추진하고 있음.",건설·인프라;전력·에너지,0.1096,https://finance.naver.com/item/main.naver?code=010130,NAVER_PUBLIC,OK,2026-09-01,010130,고려아연,,Y,,,,,,0.893705035971223,1.847841726618705,Public Naver pull; history-dependent fields require BPS history input.,0.7913669064748201,2.25
12.98,6770.0,14.0,6425.0,3.58,24553.07,87900.0,269337.0,"기업개요 동사는 2000년 대우중공업에서 분할 설립되어 2001년 유가증권시장에 상장됨. 2024년 미국 Philly Shipyard Inc. 지분 인수로 미국 시장 진출 교두보를 마련하고, 싱가포르에 해외 종속회사를 신규 설립하여 글로벌 사업 기반을 확대하고 있음. LNG·원유·컨테이너·LPG 운반선 등 각종 선박과 FPSO, 해양플랫폼, 에너지플랜트 사업 및 잠수함·구축함 등 특수선을 건조하는 종합 조선·해양 전문회사임.",금융·보험;조선·해양;플랫폼·인터넷,0.2617,https://finance.naver.com/item/main.naver?code=042660,NAVER_PUBLIC,OK,2026-09-01,042660,한화오션,,Y,,,,,,0.875255110664369,3.6451653499949295,Public Naver pull; history-dependent fields require BPS history input.,0.6494910819706049,3.580000382844182
46.47,62744.0,35.0,83816.0,10.49,277979.03,2916000.0,271903.0,"기업개요 동사는 2018년 효성그룹에서 분할 설립된 중공업 및 건설 전문 기업으로, 국내외 24개 종속회사를 보유하고 있음. 중공업 부문에서는 변압기, 차단기, 배전반 등 전력기기와 전동기, 발전기, 감속기 등 회전기기를 생산·판매하며, 미국, 인도, 중국 등 주요 거점에 해외 생산기지를 운영하고 있음. 건설 부문에서는 주택, 재개발·재건축, 업무·상업시설, 토목·환경, SOC 사업 등 다양한 건설사업을 영위하고 있음.",건설·인프라;전력·에너지,0.3015,https://finance.naver.com/item/main.naver?code=298040,NAVER_PUBLIC,OK,2026-09-01,298040,효성중공업,,Y,,,,,,0.24318381138318237,4.524082266205481,Public Naver pull; history-dependent fields require BPS history input.,0.17645215899918779,10.489999911144375
7.26,48724.0,6.0,55370.0,1.69,209171.6,353500.0,250182.0,"기업개요 동사는 1973년 설립된 HD현대그룹 계열의 지주회사로 2019년 지주회사로 전환하였음. HD현대중공업, HD현대삼호 등 26개 종속회사를 보유하고 있으며 조선사업, 해양플랜트사업, 엔진기계사업, 그린에너지사업을 영위하고 있음. 조선사업은 일반상선, 가스선, 해양선박, 함정 건조와 수소·암모니아 추진운반선 개발, 엔진기계사업은 대형·중형엔진, 발전설비 공급을 하고 있음.",조선·해양;건설·인프라;전력·에너지,0.2647,https://finance.naver.com/item/main.naver?code=009540,NAVER_PUBLIC,OK,2026-09-01,009540,HD한국조선해양,,Y,,,,,,0.42520112673039745,1.7196407160436695,Public Naver pull; history-dependent fields require BPS history input.,0.337999996175389,1.689999980876945
20.37,16737.0,14.0,23552.0,0.45,757777.78,341000.0,270213.0,"기업개요 동사는 1968년 설립되어 2022년 지주회사로 전환하였으며, 총 199개사의 연결대상 종속회사를 보유하고 있음. 주요 자회사로는 철강부문, 인프라부문, 이차전지소재부문 등이 있으며, 철강제품 공급과 무역·에너지·건설·물류·IT 및 이차전지소재사업을 영위하고 있음. 그룹 전반의 성장 전략 수립과 M&A 등 신사업 추진을 통해 미래사업 포트폴리오를 개발하고, 탈탄소 전환에 역량을 집중하고 있음.",건설·인프라;배터리;화학·소재,0.0311,https://finance.naver.com/item/main.naver?code=005490,NAVER_PUBLIC,OK,2026-09-01,005490,POSCO홀딩스,,Y,,,,,,0.36277125993322207,0.5207331363028354,Public Naver pull; history-dependent fields require BPS history input.,0.2784457469840301,0.4499999986803519
