position,ticker,company,sector,in_kospi200,source_as_of,source_url
130,139130,iM금융지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
131,483650,달바글로벌,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
132,375500,DL이앤씨,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
133,004370,농심,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
134,007340,DN오토모티브,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
135,026960,동서,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
136,282330,BGF리테일,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
137,005850,에스엘,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
138,450080,에코프로머티,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
139,204320,HL만도,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
140,383220,F&F,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
141,011170,롯데케미칼,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
142,004990,롯데지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
143,081660,미스토홀딩스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
144,000240,한국앤컴퍼니,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
145,103140,풍산,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
146,030000,제일기획,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
